State,Rates (%),Brackets ($)
Alabama,2,0
Alabama,4,500
Alabama,5,3000
Alaska,0,0
Arizona,2.59,0
Arizona,3.34,27272
Arizona,4.17,54544
Arizona,4.5,163632
Arizona,8,250000
Arkansas,2,0
Arkansas,4,4000
Arkansas,5.9,8000
California,1,0
California,2,8932
California,4,21175
California,6,33421
California,8,46394
California,9.3,58634
California,10.3,299508
California,11.3,359407
California,12.3,599012
California,13.3,1000000
Colorado,4.55,0
Connecticut,3,0
Connecticut,5,10000
Connecticut,5.5,50000
Connecticut,6,100000
Connecticut,6.5,200000
Connecticut,6.9,250000
Connecticut,6.99,500000
Delaware,2.2,2000
Delaware,3.9,5000
Delaware,4.8,10000
Delaware,5.2,20000
Delaware,5.55,25000
Delaware,6.6,60000
Florida,0,0
Georgia,1,0
Georgia,2,750
Georgia,3,2250
Georgia,4,3750
Georgia,5,5250
Georgia,5.75,7000
Hawaii,1.4,0
Hawaii,3.2,2400
Hawaii,5.5,4800
Hawaii,6.4,9600
Hawaii,6.8,14400
Hawaii,7.2,19200
Hawaii,7.6,24000
Hawaii,7.9,36000
Hawaii,8.25,48000
Hawaii,9,150000
Hawaii,10,175000
Hawaii,11,200000
Idaho,1.125,0
Idaho,3.125,1568
Idaho,3.625,3136
Idaho,4.625,4704
Idaho,5.625,6272
Idaho,6.625,7840
Idaho,6.925,11760
Illinois,4.95,0
Indiana,3.23,0
Iowa,0.33,0
Iowa,0.67,1676
Iowa,2.25,3352
Iowa,4.14,6704
Iowa,5.63,15084
Iowa,5.96,25140
Iowa,6.25,33520
Iowa,7.44,50280
Iowa,8.53,75420
Kansas,3.1,0
Kansas,5.25,15000
Kansas,5.7,30000
Kentucky,5,0
Louisiana,2,0
Louisiana,4,12500
Louisiana,6,50000
Maine,5.8,0
Maine,6.75,22450
Maine,7.15,53150
Maryland,2,0
Maryland,3,1000
Maryland,4,2000
Maryland,4.75,3000
Maryland,5,100000
Maryland,5.25,125000
Maryland,5.5,150000
Maryland,5.75,250000
Massachusetts,5,0
Michigan,4.25,0
Minnesota,5.35,0
Minnesota,6.8,27230
Minnesota,7.85,89440
Minnesota,9.85,166040
Mississippi,3,4000
Mississippi,4,5000
Mississippi,5,10000
Missouri,1.5,107
Missouri,2,1073
Missouri,2.5,2146
Missouri,3,3219
Missouri,3.5,4292
Missouri,4,5365
Missouri,4.5,6438
Missouri,5,7511
Missouri,5.4,8584
Montana,1,0
Montana,2,3100
Montana,3,5500
Montana,4,8400
Montana,5,11300
Montana,6,14500
Montana,6.9,18700
Nebraska,2.46,0
Nebraska,3.51,3340
Nebraska,5.01,19990
Nebraska,6.84,32210
Nevada,0,0
New Hampshire,5,0
New Jersey,1.4,0
New Jersey,1.75,20000
New Jersey,3.5,35000
New Jersey,5.525,40000
New Jersey,6.37,75000
New Jersey,8.97,500000
New Jersey,10.75,1000000
New Mexico,1.7,0
New Mexico,3.2,5500
New Mexico,4.7,11000
New Mexico,4.9,16000
New Mexico,5.9,210000
New York,4,0
New York,4.5,8500
New York,5.25,11700
New York,5.9,13900
New York,5.97,21400
New York,6.33,80650
New York,6.85,215400
New York,8.82,1077550
North Carolina,5.25,0
North Dakota,1.1,0
North Dakota,2.04,40125
North Dakota,2.27,97150
North Dakota,2.64,202650
North Dakota,2.9,440600
Ohio,2.85,22150
Ohio,3.326,44250
Ohio,3.802,88450
Ohio,4.413,110650
Ohio,4.797,221300
Oklahoma,0.5,0
Oklahoma,1,1000
Oklahoma,2,2500
Oklahoma,3,3750
Oklahoma,4,4900
Oklahoma,5,7200
Oregeon,4.75,0
Oregeon,6.75,3650
Oregeon,8.75,9200
Oregeon,9.9,125000
Pennsylvania,3.07,0
Rhode Island,3.75,0
Rhode Island,4.75,66200
Rhode Island,5.99,150550
South Carolina,0,0
South Carolina,3,3070
South Carolina,4,6150
South Carolina,5,9230
South Carolina,6,12310
South Carolina,7,15400
South Dakota,0,0
Tennessee,0,0
Texas,0,0
Utah,4.95,0
Vermont,3.35,0
Vermont,6.6,40350
Vermont,7.6,97800
Vermont,8.75,204000
Virginia,2,0
Virginia,3,3000
Virginia,5,5000
Virginia,5.75,17000
Washington,0,0
West Virginia,3,0
West Virginia,4,10000
West Virginia,4.5,25000
West Virginia,6,40000
West Virginia,6.5,60000
Wisconsin,3.54,0
Wisconsin,4.65,12120
Wisconsin,6.27,24250
Wisconsin,7.65,266930
Wyoming,0,0
D.C.,4,0
D.C.,6,10000
D.C.,6.5,40000
D.C.,8.5,60000
D.C.,8.75,350000
D.C.,8.95,1000000
